Model Name,Sofa Type
GALAXY,Static Sofa
ROME,Static Sofa
AROMA,Static Sofa
TOMMY,Static Sofa
GLORY,Static Sofa
MINI FIT,Static Sofa
GRELLE,Static Sofa
PEBBLE,Static Sofa
TESLA,Static Sofa (Headrest Adjustable)
MADRID,Static Sofa
BERLIN,Static Sofa
BIANCO,Static Sofa
DIVA,Recliner
OMEGA,Static Sofa (Headrest Adjustable)
MASTIC,Static Sofa (Headrest Adjustable)
MILAN,Static Sofa (Headrest Adjustable)
ALBERT,Static Sofa
SAN MARINO,Static Sofa
"CIPRIA
3032",Static Sofa
PRIME CHESTER,Full Chester Sofa
MAJESTY,Static Sofa (Chester Sofa)
BLOSSOM,Full Chester Sofa
WING CHESTER,Chester Sofa
ROYALTON,Static Sofa (Chester Sofa)
BON CHESTER,Static Sofa (Chester Sofa)
SILICA,Static Sofa (Backrest Adjustable)
MONZA,Static Sofa
ARG,Static Sofa
CLASSY,Static Sofa
JULIET,Static Sofa
NORDIC,
MADONA,Motion Sofa (Single Flip)
FOGGY,Motion Sofa (Single Flip)
ROYAL RECLINER,Metal to Floor Mechanism
CATANIA,Motion Sofa (Twin motor)
DAMRAN,Motion Sofa (Single Flip)
LAZIO,Motion Sofa (Single Flip)
KIARA,Motion Sofa (Twin motor)
RELAXO,Motion Sofa (Single Flip)
HOME THEATRE,Motion Sofa (Single Flip)
TREVISO,Motion Sofa (Single Flip)
ROMEO,Motion Sofa (Single Flip)
KAKOT,Motion Sofa (Double Flip)
VINTY,Motion Sofa
ALEXA,Motion Sofa (Twin motor)
LIZO,Motion Sofa (Twin motor)
RANDY,Motion Sofa (Twin motor)
"SANDY
9008",Motion Sofa (Twin motor)
MAYFAIR,Motion Sofa (Single flip)
LORENZO,Motion Sofa (Single flip)
PLUTO,King - Without Storage Bed
SKYE,King - Without Storage Bed
KIDBED,King - Without Storage Bed
RIO,King - Without Storage Bed
SYMPHONY,King - Without Storage Bed
BOXTER,King - Without Storage Bed
LISBEN,King - Without Storage Bed
TRAVY,King - Without Storage Bed
ASHEN,King - Without Storage Bed
NPD BED,
BREEZA,King - Without Storage Bed
MAGNA,King - Without Storage Bed
Dining Chair,Dining Chair (Revolving Chair)
JOY,Arm Chair
ROCK,Arm Chair (Revolving Chair)
SMANIA,Arm Chair
ALEX,Arm Chair
ROYAL CHESTER,Arm Chair
MIRANDA,Arm Chair
ROYALTON CT,CT
SANMARINO,CT
OTTOMAN,TABLE
DUAL,Static Sofa
SPINC,Bench
SWAN,Static Sofa
SENSO,Static Sofa
MAT,Static Sofa
RHO,Static Sofa
PEARL SHELL,Static Sofa
REMINI,Static Sofa
MARSHAL,Motion Sofa (Single flip)
LV-09 (MINITA),Static Sofa
VITRA CHAIR,Arm Chair
JAZZ,Arm Chair
DALMORE,DAY BED
SOFA COME BED,
KING CHESTER,ARM CHAIR
PANTON,ARM CHAIR
3017,STATIC
MYSTY,STATIC
DORALDO,
ADORN,Static
AERON,Arm Chair
AETHER,King - Without Storage Bed
ALVIN,King - Without Storage Bed
BRASILIA,Static
CARADEL ORIONS,Recliner
CARVER,Manual Recliner
CLOUD ORBIT,Static
COGSWELL,Recliner
DOLMORE,
ELARA BED,King - Without Storage Bed
GARCIA,
LOUIS,
MELAKA,
OTTO MAN,
PARKER,Static
JAQUES RRR,Recliner
SIBLE,Static
GRAND COUCH,Static
NEW CASTLE,Static
MARK ODD CHAIR,Arm Chair
NAVONA,Static
CT,ct
TORQUE,Static
PORTOFINO,Static
RHO(3 str - 3 Part),Static
Reese,Arm Chair
Wall Pannel,
Royalton Wall Pannel,
Tranquil,King - With Storage Bed
Luxor,Static
Supermoon,King - Without Storage Bed
Margot,Arm Chair
Mariel,
Couch Potato,Static
Ruby Knight,
Twinter,Recliner
Elizabeth,Static
Cleo,Recliner
Camellia,Recliner
Flamingo,Recliner
Oscar,Recliner
Essence,King - Without Storage Bed
David,static
Swivel,static
Brewster,static
Grand Beauty,static
New Techno,static
